       Energy  Energy_sqrd  QuantVar  BlockingVar  MCcycles  TimeStep    Eta  AcceptanceRation
0    6.366994    45.213516  4.674900     0.004306    16384.0       0.1  0.001          0.980011
1    6.347395    44.945306  4.655880     0.004290    16384.0       0.1  0.001          0.980011
2    6.327828    44.678290  4.636882     0.004275    16384.0       0.1  0.001          0.980011
3    6.308293    44.412471  4.617907     0.004259    16384.0       0.1  0.001          0.980011
4    6.288791    44.147855  4.598956     0.004244    16384.0       0.1  0.001          0.980011
5    6.268660    43.875878  4.579782     0.004230    16384.0       0.1  0.001          0.980042
6    6.249407    43.615882  4.560791     0.004214    16384.0       0.1  0.001          0.980072
7    6.229511    43.349475  4.542665     0.004201    16384.0       0.1  0.001          0.980042
8    6.210150    43.089780  4.523812     0.004185    16384.0       0.1  0.001          0.980042
9    6.190826    42.831310  4.504985     0.004170    16384.0       0.1  0.001          0.980042
10   6.171213    42.570567  4.486703     0.004158    16384.0       0.1  0.001          0.980103
11   6.151963    42.314578  4.467928     0.004142    16384.0       0.1  0.001          0.980103
12   6.132752    42.059826  4.449181     0.004127    16384.0       0.1  0.001          0.980103
13   6.113579    41.806314  4.430461     0.004111    16384.0       0.1  0.001          0.980103
14   6.094446    41.554046  4.411770     0.004096    16384.0       0.1  0.001          0.980103
15   6.075353    41.303026  4.393108     0.004080    16384.0       0.1  0.001          0.980103
16   6.056301    41.053255  4.374475     0.004065    16384.0       0.1  0.001          0.980103
17   6.037290    40.804737  4.355873     0.004049    16384.0       0.1  0.001          0.980103
18   6.018320    40.557475  4.337300     0.004034    16384.0       0.1  0.001          0.980103
19   5.999393    40.311470  4.318759     0.004019    16384.0       0.1  0.001          0.980103
20   5.980508    40.066724  4.300248     0.004003    16384.0       0.1  0.001          0.980103
21   5.960477    39.811206  4.283917     0.003991    16384.0       0.1  0.001          0.980194
22   5.941816    39.570734  4.265562     0.003975    16384.0       0.1  0.001          0.980194
23   5.923063    39.329813  4.247138     0.003960    16384.0       0.1  0.001          0.980194
24   5.904355    39.090151  4.228745     0.003944    16384.0       0.1  0.001          0.980194
25   5.885691    38.851749  4.210385     0.003929    16384.0       0.1  0.001          0.980194
26   5.867073    38.614607  4.192059     0.003914    16384.0       0.1  0.001          0.980194
27   5.848501    38.378728  4.173765     0.003898    16384.0       0.1  0.001          0.980194
28   5.829817    38.142527  4.155758     0.003885    16384.0       0.1  0.001          0.980225
29   5.811338    37.909179  4.137531     0.003869    16384.0       0.1  0.001          0.980225
30   5.792905    37.677093  4.119340     0.003854    16384.0       0.1  0.001          0.980225
31   5.774520    37.446268  4.101183     0.003839    16384.0       0.1  0.001          0.980225
32   5.756183    37.216704  4.083061     0.003824    16384.0       0.1  0.001          0.980225
33   5.737894    36.988400  4.064975     0.003808    16384.0       0.1  0.001          0.980225
34   5.719653    36.761356  4.046924     0.003793    16384.0       0.1  0.001          0.980225
35   5.701461    36.535570  4.028909     0.003778    16384.0       0.1  0.001          0.980225
36   5.683319    36.311041  4.010930     0.003763    16384.0       0.1  0.001          0.980225
37   5.665082    36.086418  3.993265     0.003748    16384.0       0.1  0.001          0.980286
38   5.647039    35.864403  3.975357     0.003733    16384.0       0.1  0.001          0.980286
39   5.629405    35.647529  3.957331     0.003717    16384.0       0.1  0.001          0.980316
40   5.611461    35.427995  3.939498     0.003702    16384.0       0.1  0.001          0.980316
41   5.593568    35.209709  3.921703     0.003687    16384.0       0.1  0.001          0.980316
42   5.575726    34.992668  3.903945     0.003672    16384.0       0.1  0.001          0.980316
43   5.557935    34.776871  3.886225     0.003657    16384.0       0.1  0.001          0.980316
44   5.540196    34.562314  3.868543     0.003642    16384.0       0.1  0.001          0.980316
45   5.522508    34.348996  3.850899     0.003627    16384.0       0.1  0.001          0.980316
46   5.505284    34.140268  3.832112     0.003609    16384.0       0.1  0.001          0.980225
47   5.487700    33.929407  3.814551     0.003594    16384.0       0.1  0.001          0.980225
48   5.470169    33.719782  3.797030     0.003580    16384.0       0.1  0.001          0.980225
49   5.452691    33.511390  3.779548     0.003565    16384.0       0.1  0.001          0.980225
50   6.366994    45.213516  4.674900     0.004306    16384.0       0.1  0.005          0.980011
51   6.268645    43.875682  4.579767     0.004230    16384.0       0.1  0.005          0.980042
52   6.171128    42.569437  4.486614     0.004158    16384.0       0.1  0.005          0.980103
53   6.075093    41.299593  4.392833     0.004080    16384.0       0.1  0.005          0.980103
54   5.979922    40.059092  4.299627     0.004003    16384.0       0.1  0.005          0.980103
55   5.884597    38.837706  4.209221     0.003928    16384.0       0.1  0.005          0.980194
56   5.791096    37.654207  4.117409     0.003852    16384.0       0.1  0.005          0.980225
57   5.698711    36.501270  4.025964     0.003775    16384.0       0.1  0.005          0.980225
58   5.607533    35.379698  3.935277     0.003698    16384.0       0.1  0.005          0.980316
59   5.517162    34.284208  3.845133     0.003622    16384.0       0.1  0.005          0.980316
60   5.428260    33.220536  3.754526     0.003543    16384.0       0.1  0.005          0.980225
61   5.339685    32.178774  3.666535     0.003468    16384.0       0.1  0.005          0.980408
62   5.252609    31.168460  3.578560     0.003392    16384.0       0.1  0.005          0.980408
63   5.165824    30.178093  3.492354     0.003315    16384.0       0.1  0.005          0.980499
64   5.081276    29.225155  3.405793     0.003241    16384.0       0.1  0.005          0.980499
65   4.997815    28.298390  3.320235     0.003166    16384.0       0.1  0.005          0.980499
66   4.916462    27.411027  3.239429     0.003080    16384.0       0.1  0.005          0.980377
67   4.835190    26.534284  3.155223     0.003009    16384.0       0.1  0.005          0.980347
68   4.755638    25.688477  3.072388     0.002935    16384.0       0.1  0.005          0.980347
69   4.677455    24.869165  2.990578     0.002862    16384.0       0.1  0.005          0.980347
70   4.600087    24.070795  2.909995     0.002787    16384.0       0.1  0.005          0.980408
71   4.524599    23.303242  2.831241     0.002715    16384.0       0.1  0.005          0.980408
72   4.450715    22.561594  2.752732     0.002644    16384.0       0.1  0.005          0.980408
73   4.377336    21.838208  2.677138     0.002577    16384.0       0.1  0.005          0.980377
74   4.309480    21.176444  2.604827     0.002519    16384.0       0.1  0.005          0.980530
75   4.239593    20.504043  2.529895     0.002449    16384.0       0.1  0.005          0.980530
76   4.171355    19.856252  2.456049     0.002378    16384.0       0.1  0.005          0.980530
