       Energy  Energy_sqrd    QuantVar  BlockingVar  MCcycles  TimeStep    Eta  AcceptanceRation
0    7.508373    63.621591    7.245923     0.003868   16384.0       0.1  0.001          0.980011
1    7.488710    63.304057    7.223281     0.003855   16384.0       0.1  0.001          0.980011
2    7.469078    62.987780    7.200657     0.003841   16384.0       0.1  0.001          0.980011
3    7.449477    62.672760    7.178046     0.003828   16384.0       0.1  0.001          0.980011
4    7.429909    62.358997    7.155443     0.003815   16384.0       0.1  0.001          0.980011
5    7.409325    62.021406    7.123305     0.003799   16384.0       0.1  0.001          0.980042
6    7.390047    61.713376    7.100581     0.003786   16384.0       0.1  0.001          0.980072
7    7.370277    61.393944    7.072960     0.003773   16384.0       0.1  0.001          0.980042
8    7.350842    61.084708    7.049825     0.003759   16384.0       0.1  0.001          0.980042
9    7.331443    60.776717    7.026660     0.003746   16384.0       0.1  0.001          0.980042
10   7.311787    60.466259    7.004027     0.003734   16384.0       0.1  0.001          0.980103
11   7.292461    60.160771    6.980781     0.003721   16384.0       0.1  0.001          0.980103
12   7.273172    59.856521    6.957487     0.003708   16384.0       0.1  0.001          0.980103
13   7.253921    59.553508    6.934137     0.003694   16384.0       0.1  0.001          0.980103
14   7.234708    59.251731    6.910726     0.003681   16384.0       0.1  0.001          0.980103
15   7.215534    58.951186    6.887249     0.003668   16384.0       0.1  0.001          0.980103
16   7.196400    58.651871    6.863698     0.003655   16384.0       0.1  0.001          0.980103
17   7.177306    58.353786    6.840070     0.003641   16384.0       0.1  0.001          0.980103
18   7.158252    58.056926    6.816358     0.003628   16384.0       0.1  0.001          0.980103
19   7.139239    57.761290    6.792558     0.003615   16384.0       0.1  0.001          0.980103
20   7.120268    57.466876    6.768665     0.003602   16384.0       0.1  0.001          0.980103
21   7.100783    57.168800    6.747686     0.003588   16384.0       0.1  0.001          0.980194
22   7.081340    56.861461    6.716083     0.003576   16384.0       0.1  0.001          0.980194
23   7.062499    56.570811    6.691916     0.003563   16384.0       0.1  0.001          0.980194
24   7.043701    56.281368    6.667639     0.003549   16384.0       0.1  0.001          0.980194
25   7.024947    55.993130    6.643250     0.003536   16384.0       0.1  0.001          0.980194
26   7.006237    55.706098    6.618746     0.003523   16384.0       0.1  0.001          0.980194
27   6.987571    55.420272    6.594127     0.003510   16384.0       0.1  0.001          0.980194
28   6.968867    55.134690    6.569581     0.003497   16384.0       0.1  0.001          0.980225
29   6.950292    54.851280    6.544726     0.003484   16384.0       0.1  0.001          0.980225
30   6.931762    54.569075    6.519754     0.003471   16384.0       0.1  0.001          0.980225
31   6.913278    54.288077    6.494665     0.003458   16384.0       0.1  0.001          0.980225
32   6.894841    54.008287    6.469460     0.003444   16384.0       0.1  0.001          0.980225
33   6.876450    53.729708    6.444141     0.003431   16384.0       0.1  0.001          0.980225
34   6.858107    53.452341    6.418711     0.003418   16384.0       0.1  0.001          0.980225
35   6.839811    53.176189    6.393173     0.003405   16384.0       0.1  0.001          0.980225
