       Energy   Energy_sqrd      QuantVar  BlockingVar  MCcycles  TimeStep   Eta  AcceptanceRation
0   25.775458  7.438118e+06  7.437453e+06   113.486529   65536.0       0.1  0.05          0.988876
1    9.014368  1.187824e+04  1.179698e+04     0.181573   65536.0       0.1  0.05          0.989128
2   10.184384  3.002606e+04  2.992234e+04     0.456579   65536.0       0.1  0.05          0.989311
3   10.912746  7.669049e+04  7.657140e+04     1.168387   65536.0       0.1  0.05          0.989059
4   14.257619  3.061773e+05  3.059740e+05     4.678564   65536.0       0.1  0.05          0.988953
5   14.292399  2.465733e+05  2.463690e+05     3.772554   65536.0       0.1  0.05          0.989059
6    8.754148  4.373184e+04  4.365521e+04     0.666126   65536.0       0.1  0.05          0.989601
7    8.282428  7.005561e+04  6.998701e+04     1.067917   65536.0       0.1  0.05          0.989677
8    5.597420  4.364916e+03  4.333585e+03     0.067236   65536.0       0.1  0.05          0.989464
9    5.114101  1.601049e+04  1.598434e+04     0.243902   65536.0       0.1  0.05          0.990196
10   4.223910  1.446934e+03  1.429093e+03     0.021979   65536.0       0.1  0.05          0.990051
11   4.394737  3.088669e+02  2.895532e+02     0.004773   65536.0       0.1  0.05          0.990318
12   5.061553  3.623971e+01  1.062039e+01     0.001256   65536.0       0.1  0.05          0.989647
13   5.331194  3.591953e+01  7.497901e+00     0.001318   65536.0       0.1  0.05          0.990242
14   5.439625  3.705715e+01  7.467629e+00     0.001592   65536.0       0.1  0.05          0.989929
15   5.110384  3.111509e+01  4.999071e+00     0.001282   65536.0       0.1  0.05          0.989143
16   4.764187  3.309542e+01  1.039795e+01     0.001116   65536.0       0.1  0.05          0.989738
17   4.524591  7.020481e+03  7.000009e+03     0.106812   65536.0       0.1  0.05          0.988792
18   3.803084  1.161235e+02  1.016601e+02     0.001900   65536.0       0.1  0.05          0.989754
19   3.485470  5.975612e+01  4.760762e+01     0.000967   65536.0       0.1  0.05          0.989487
20   3.732153  1.920737e+03  1.906808e+03     0.029386   65536.0       0.1  0.05          0.989784
21   3.516512  9.702915e+02  9.579256e+02     0.014755   65536.0       0.1  0.05          0.989273
22   3.526880  5.849140e+02  5.724751e+02     0.008972   65536.0       0.1  0.05          0.989799
23   5.227014  3.384084e+04  3.381352e+04     0.515953   65536.0       0.1  0.05          0.989273
24   3.585618  4.417858e+02  4.289292e+02     0.007996   65536.0       0.1  0.05          0.990089
25   4.667322  5.422287e+04  5.420109e+04     0.827043   65536.0       0.1  0.05          0.989540
26   3.626169  1.179868e+03  1.166719e+03     0.018001   65536.0       0.1  0.05          0.989891
27   3.592911  7.321135e+02  7.192045e+02     0.011315   65536.0       0.1  0.05          0.989395
28   3.603191  1.497273e+03  1.484290e+03     0.022648   65536.0       0.1  0.05          0.989960
29   3.714070  1.598749e+03  1.584954e+03     0.024184   65536.0       0.1  0.05          0.989281
30  14.647370  8.033127e+06  8.032913e+06   122.572524   65536.0       0.1  0.05          0.989540
31   4.241583  5.008337e+01  3.209234e+01     0.001250   65536.0       0.1  0.05          0.989517
32   5.049210  3.168812e+01  6.193597e+00     0.001376   65536.0       0.1  0.05          0.989693
33   5.801062  3.915829e+01  5.505969e+00     0.001656   65536.0       0.1  0.05          0.989723
34   6.533008  4.909747e+01  6.417274e+00     0.001944   65536.0       0.1  0.05          0.988510
35   6.934789  5.532879e+01  7.237494e+00     0.002582   65536.0       0.1  0.05          0.990379
36   7.211979  5.928086e+01  7.268227e+00     0.002240   65536.0       0.1  0.05          0.989853
37   7.075326  5.730407e+01  7.243822e+00     0.002519   65536.0       0.1  0.05          0.989677
38   6.769443  5.268714e+01  6.861788e+00     0.002100   65536.0       0.1  0.05          0.989220
39   6.305725  4.768535e+01  7.923173e+00     0.002264   65536.0       0.1  0.05          0.989738
40   5.810874  4.059383e+01  6.827571e+00     0.001551   65536.0       0.1  0.05          0.989311
41   5.244281  3.213236e+01  4.629878e+00     0.001449   65536.0       0.1  0.05          0.990044
42   4.689415  3.109954e+01  9.108923e+00     0.001277   65536.0       0.1  0.05          0.989868
43   4.641137  1.338810e+04  1.336656e+04     0.203958   65536.0       0.1  0.05          0.990028
44   3.832318  2.429527e+01  9.608607e+00     0.000610   65536.0       0.1  0.05          0.989182
45   3.682808  2.117587e+02  1.981957e+02     0.003197   65536.0       0.1  0.05          0.990059
46  17.648276  1.286664e+07  1.286633e+07   196.324662   65536.0       0.1  0.05          0.989166
47   3.669898  3.425592e+02  3.290910e+02     0.005221   65536.0       0.1  0.05          0.989594
48   4.073730  8.653449e+03  8.636854e+03     0.131788   65536.0       0.1  0.05          0.989296
49   3.638175  3.624698e+01  2.301066e+01     0.000793   65536.0       0.1  0.05          0.989525
