      Energy  Energy_sqrd   QuantVar  BlockingVar  MCcycles  TimeStep   Eta  AcceptanceRation
0   3.243315    13.641969   3.122878     0.000113   65536.0       0.1  0.05          0.978584
1   3.242197    16.475664   5.963824     0.000156   65536.0       0.1  0.05          0.978188
2   3.241559    14.296569   3.788864     0.000115   65536.0       0.1  0.05          0.979958
3   3.252735    26.342460  15.762178     0.000289   65536.0       0.1  0.05          0.978867
4   3.248457    14.819393   4.266921     0.000115   65536.0       0.1  0.05          0.979721
5   3.237348    14.236172   3.755751     0.000091   65536.0       0.1  0.05          0.979370
6   3.228350    12.364482   1.942241     0.000059   65536.0       0.1  0.05          0.979713
7   3.222181    13.803136   3.420686     0.000092   65536.0       0.1  0.05          0.978989
8   3.227755    12.449048   2.030647     0.000064   65536.0       0.1  0.05          0.979515
9   3.228444    13.491093   3.068243     0.000081   65536.0       0.1  0.05          0.979370
10  3.227523    13.326731   2.909825     0.000082   65536.0       0.1  0.05          0.980339
11  3.221610    12.626934   2.248162     0.000079   65536.0       0.1  0.05          0.980476
12  3.226846    13.297961   2.885424     0.000096   65536.0       0.1  0.05          0.980255
13  3.215131    13.464193   3.127123     0.000091   65536.0       0.1  0.05          0.980812
14  3.223362    16.896736   6.506675     0.000141   65536.0       0.1  0.05          0.979805
15  3.210556    13.175544   2.867873     0.000091   65536.0       0.1  0.05          0.979446
16  3.226928    14.477169   4.064107     0.000109   65536.0       0.1  0.05          0.980873
17  3.241085    13.803596   3.298961     0.000097   65536.0       0.1  0.05          0.979370
18  3.200696    12.792348   2.547896     0.000078   65536.0       0.1  0.05          0.980682
19  3.216670    15.418840   5.071874     0.000127   65536.0       0.1  0.05          0.980247
20  3.238054    33.243623  22.758632     0.000383   65536.0       0.1  0.05          0.979919
21  3.203999    13.278474   3.012864     0.000091   65536.0       0.1  0.05          0.980255
22  3.217653    14.382253   4.028963     0.000107   65536.0       0.1  0.05          0.978065
23  3.214222    13.337667   3.006443     0.000096   65536.0       0.1  0.05          0.980522
24  3.209320    13.660286   3.360551     0.000096   65536.0       0.1  0.05          0.979599
25  3.205507    14.132017   3.856739     0.000097   65536.0       0.1  0.05          0.980614
26  3.193866    12.665664   2.464887     0.000088   65536.0       0.1  0.05          0.979088
27  3.194648    16.454009   6.248232     0.000142   65536.0       0.1  0.05          0.980492
28  3.197162    27.621082  17.399234     0.000302   65536.0       0.1  0.05          0.979965
29  3.198120    16.801923   6.573950     0.000163   65536.0       0.1  0.05          0.979889
30  3.183323    12.763170   2.629624     0.000081   65536.0       0.1  0.05          0.980064
31  3.185245    14.518682   4.372898     0.000112   65536.0       0.1  0.05          0.978622
32  3.190833    12.866566   2.685149     0.000088   65536.0       0.1  0.05          0.979843
33  3.162221    13.984836   3.985193     0.000106   65536.0       0.1  0.05          0.980553
34  3.177473    20.869245  10.772908     0.000200   65536.0       0.1  0.05          0.978859
35  3.156133    12.558705   2.597530     0.000083   65536.0       0.1  0.05          0.979500
36  3.144432    13.014722   3.127269     0.000083   65536.0       0.1  0.05          0.979004
37  3.145050    12.906289   3.014949     0.000086   65536.0       0.1  0.05          0.978165
38  3.168466    20.120245  10.081070     0.000179   65536.0       0.1  0.05          0.979378
39  3.160027    13.417779   3.432008     0.000088   65536.0       0.1  0.05          0.978867
40  3.153130    12.439563   2.497331     0.000068   65536.0       0.1  0.05          0.977669
41  3.140808    12.119835   2.255161     0.000068   65536.0       0.1  0.05          0.977463
42  3.158938    12.675660   2.696768     0.000073   65536.0       0.1  0.05          0.976639
43  3.156101    12.489851   2.528876     0.000070   65536.0       0.1  0.05          0.975754
44  3.152682    12.825503   2.886102     0.000074   65536.0       0.1  0.05          0.977249
45  3.143550    12.845804   2.963898     0.000077   65536.0       0.1  0.05          0.976494
46  3.150114    12.384676   2.461459     0.000068   65536.0       0.1  0.05          0.976494
47  3.144773    12.404510   2.514912     0.000071   65536.0       0.1  0.05          0.975212
48  3.147112    12.016607   2.112291     0.000063   65536.0       0.1  0.05          0.976128
49  3.131269    11.714366   1.909523     0.000059   65536.0       0.1  0.05          0.977020
