      Energy  Energy_sqrd  QuantVar  BlockingVar  MCcycles  TimeStep   Eta  AcceptanceRation
0   3.252630    14.864221  4.284621     0.000129   65536.0       0.1  0.05          0.978203
1   3.269241    14.675079  3.987145     0.000126   65536.0       0.1  0.05          0.980667
2   3.219385    13.276294  2.911852     0.000094   65536.0       0.1  0.05          0.977249
3   3.240630    13.565120  3.063437     0.000085   65536.0       0.1  0.05          0.979813
4   3.255696    13.682736  3.083182     0.000092   65536.0       0.1  0.05          0.981194
5   3.242144    12.734721  2.223220     0.000070   65536.0       0.1  0.05          0.978981
6   3.238986    17.652414  7.161383     0.000148   65536.0       0.1  0.05          0.979286
7   3.208895    12.361433  2.064423     0.000075   65536.0       0.1  0.05          0.979912
8   3.230392    13.518301  3.082869     0.000095   65536.0       0.1  0.05          0.979523
9   3.249303    14.418803  3.860834     0.000111   65536.0       0.1  0.05          0.979317
10  3.245490    16.926522  6.393314     0.000136   65536.0       0.1  0.05          0.980751
11  3.248889    14.967446  4.412167     0.000119   65536.0       0.1  0.05          0.980606
12  3.214825    12.894223  2.559123     0.000079   65536.0       0.1  0.05          0.979851
13  3.216811    13.304139  2.956266     0.000100   65536.0       0.1  0.05          0.980171
14  3.232600    15.838269  5.388564     0.000156   65536.0       0.1  0.05          0.980446
15  3.218666    12.769477  2.409664     0.000074   65536.0       0.1  0.05          0.980309
16  3.234842    14.176738  3.712537     0.000103   65536.0       0.1  0.05          0.980713
17  3.214373    12.858920  2.526729     0.000078   65536.0       0.1  0.05          0.979210
18  3.225272    13.226955  2.824578     0.000087   65536.0       0.1  0.05          0.979324
19  3.210825    13.582343  3.272945     0.000092   65536.0       0.1  0.05          0.980339
20  3.216643    14.965537  4.618748     0.000109   65536.0       0.1  0.05          0.981606
21  3.224952    16.257494  5.857181     0.000128   65536.0       0.1  0.05          0.979851
22  3.214734    13.157100  2.822585     0.000095   65536.0       0.1  0.05          0.979057
23  3.217155    14.479761  4.129675     0.000112   65536.0       0.1  0.05          0.980797
24  3.202219    13.482859  3.228650     0.000104   65536.0       0.1  0.05          0.980171
25  3.201047    14.006134  3.759430     0.000099   65536.0       0.1  0.05          0.978737
26  3.218386    15.655074  5.297067     0.000124   65536.0       0.1  0.05          0.979500
27  3.207242    16.198096  5.911692     0.000137   65536.0       0.1  0.05          0.980537
28  3.201526    13.226629  2.976862     0.000090   65536.0       0.1  0.05          0.980431
29  3.188104    13.129753  2.965749     0.000089   65536.0       0.1  0.05          0.981110
30  3.190194    13.654346  3.477008     0.000105   65536.0       0.1  0.05          0.981155
31  3.191789    13.307066  3.119547     0.000103   65536.0       0.1  0.05          0.980789
32  3.189007    13.088786  2.919023     0.000092   65536.0       0.1  0.05          0.980942
33  3.173774    15.680657  5.607815     0.000139   65536.0       0.1  0.05          0.980064
34  3.170335    13.532102  3.481078     0.000096   65536.0       0.1  0.05          0.980400
35  3.169215    12.479336  2.435415     0.000083   65536.0       0.1  0.05          0.980209
36  3.172201    12.729493  2.666631     0.000082   65536.0       0.1  0.05          0.979187
37  3.159831    13.726435  3.741900     0.000101   65536.0       0.1  0.05          0.980179
38  3.168701    13.750740  3.710075     0.000097   65536.0       0.1  0.05          0.978004
39  3.164566    12.398578  2.384097     0.000083   65536.0       0.1  0.05          0.978188
40  3.160401    12.711359  2.723223     0.000083   65536.0       0.1  0.05          0.977936
41  3.160063    12.861685  2.875687     0.000087   65536.0       0.1  0.05          0.979134
42  3.153968    12.332439  2.384928     0.000077   65536.0       0.1  0.05          0.978584
43  3.174878    13.602865  3.523014     0.000096   65536.0       0.1  0.05          0.977394
44  3.175171    14.948376  4.866666     0.000114   65536.0       0.1  0.05          0.977325
45  3.162790    12.627874  2.624631     0.000083   65536.0       0.1  0.05          0.978447
46  3.162203    13.312952  3.313421     0.000092   65536.0       0.1  0.05          0.979774
47  3.160074    12.623351  2.637285     0.000081   65536.0       0.1  0.05          0.977493
48  3.150782    12.308207  2.380777     0.000077   65536.0       0.1  0.05          0.978241
49  3.149144    12.918767  3.001657     0.000083   65536.0       0.1  0.05          0.977768
