      Energy  Energy_sqrd   QuantVar  BlockingVar  MCcycles  TimeStep   Eta  AcceptanceRation
0   3.262862    18.051530   7.405259     0.000264   65536.0       0.1  0.05          0.979210
1   3.265816    14.745742   4.080187     0.000127   65536.0       0.1  0.05          0.979454
2   3.228732    13.425792   3.001081     0.000096   65536.0       0.1  0.05          0.978676
3   3.234683    13.145582   2.682405     0.000078   65536.0       0.1  0.05          0.978424
4   3.241127    13.619159   3.114254     0.000086   65536.0       0.1  0.05          0.979500
5   3.237343    12.999898   2.519506     0.000087   65536.0       0.1  0.05          0.979691
6   3.229244    23.427348  12.999329     0.000235   65536.0       0.1  0.05          0.979897
7   3.224593    13.641412   3.243411     0.000101   65536.0       0.1  0.05          0.977982
8   3.239035    13.663024   3.171679     0.000101   65536.0       0.1  0.05          0.978561
9   3.253625    28.956919  18.370846     0.000323   65536.0       0.1  0.05          0.979248
10  3.237001    13.498028   3.019856     0.000097   65536.0       0.1  0.05          0.979263
11  3.230495    14.921034   4.484935     0.000122   65536.0       0.1  0.05          0.979637
12  3.211875    13.908425   3.592284     0.000124   65536.0       0.1  0.05          0.980164
13  3.220943    20.768332  10.393859     0.000195   65536.0       0.1  0.05          0.980614
14  3.219227    20.996128  10.632707     0.000203   65536.0       0.1  0.05          0.979446
15  3.231794    13.737398   3.292906     0.000082   65536.0       0.1  0.05          0.979713
16  3.228041    13.180387   2.760135     0.000087   65536.0       0.1  0.05          0.981903
17  3.220711    13.655260   3.282278     0.000089   65536.0       0.1  0.05          0.979340
18  3.215464    13.148657   2.809451     0.000087   65536.0       0.1  0.05          0.979187
19  3.210654    13.855580   3.547284     0.000095   65536.0       0.1  0.05          0.979767
20  3.209200    13.770668   3.471702     0.000122   65536.0       0.1  0.05          0.980690
21  3.203039    12.986501   2.727039     0.000085   65536.0       0.1  0.05          0.979782
22  3.212017    13.259613   2.942561     0.000096   65536.0       0.1  0.05          0.979897
23  3.204833    13.366451   3.095497     0.000095   65536.0       0.1  0.05          0.979980
24  3.203088    13.931680   3.671904     0.000102   65536.0       0.1  0.05          0.981758
25  3.221039    16.468859   6.093767     0.000138   65536.0       0.1  0.05          0.980118
26  3.200816    14.235296   3.990070     0.000112   65536.0       0.1  0.05          0.979500
27  3.193600    12.993665   2.794587     0.000092   65536.0       0.1  0.05          0.979980
28  3.193465    13.617488   3.419267     0.000095   65536.0       0.1  0.05          0.980690
29  3.200007    17.009774   6.769727     0.000141   65536.0       0.1  0.05          0.980148
30  3.165243    13.532255   3.513491     0.000095   65536.0       0.1  0.05          0.981018
31  3.183924    15.923363   5.785988     0.000129   65536.0       0.1  0.05          0.979401
32  3.158021    13.492633   3.519538     0.000092   65536.0       0.1  0.05          0.979782
33  3.171746    15.030011   4.970040     0.000114   65536.0       0.1  0.05          0.979301
34  3.164101    13.617624   3.606089     0.000099   65536.0       0.1  0.05          0.977814
35  3.153478    12.384055   2.439631     0.000072   65536.0       0.1  0.05          0.979317
36  3.172653    13.494153   3.428428     0.000092   65536.0       0.1  0.05          0.979385
37  3.196398    17.028477   6.811517     0.000144   65536.0       0.1  0.05          0.979576
38  3.159725    12.190725   2.206862     0.000073   65536.0       0.1  0.05          0.978012
39  3.164304    12.496556   2.483737     0.000072   65536.0       0.1  0.05          0.978310
40  3.157528    12.856624   2.886638     0.000086   65536.0       0.1  0.05          0.978134
41  3.165670    13.755131   3.733665     0.000104   65536.0       0.1  0.05          0.978447
42  3.168401    12.581459   2.542694     0.000076   65536.0       0.1  0.05          0.978210
43  3.186294    21.965732  11.813261     0.000216   65536.0       0.1  0.05          0.977737
44  3.147832    12.939642   3.030794     0.000092   65536.0       0.1  0.05          0.978943
45  3.164558    12.571372   2.556947     0.000078   65536.0       0.1  0.05          0.978310
46  3.157760    13.420866   3.449418     0.000089   65536.0       0.1  0.05          0.977692
47  3.170470    15.304224   5.252346     0.000116   65536.0       0.1  0.05          0.979378
48  3.191165    21.503944  11.320408     0.000215   65536.0       0.1  0.05          0.978508
49  3.165232    14.612826   4.594130     0.000104   65536.0       0.1  0.05          0.977600
