      Energy  Energy_sqrd  QuantVar  BlockingVar  MCcycles  TimeStep   Eta  AcceptanceRation
0   3.401538    15.424467  3.854003     0.000250   65536.0       0.1  0.05          0.993729
1   3.417510    18.854244  7.174869     0.000287   65536.0       0.1  0.05          0.993782
2   3.408031    14.539471  2.924795     0.000229   65536.0       0.1  0.05          0.993652
3   3.398039    19.404718  7.858051     0.000340   65536.0       0.1  0.05          0.993858
4   3.387732    13.778415  2.301689     0.000234   65536.0       0.1  0.05          0.993797
5   3.413204    15.924577  4.274613     0.000261   65536.0       0.1  0.05          0.993752
6   3.358767    13.570273  2.288957     0.000207   65536.0       0.1  0.05          0.994377
7   3.385144    14.333306  2.874104     0.000238   65536.0       0.1  0.05          0.993797
8   3.397135    14.602161  3.061638     0.000246   65536.0       0.1  0.05          0.994385
9   3.386537    14.813316  3.344684     0.000235   65536.0       0.1  0.05          0.993515
10  3.366730    13.299923  1.965053     0.000208   65536.0       0.1  0.05          0.992966
11  3.393158    13.402943  1.889422     0.000225   65536.0       0.1  0.05          0.993759
12  3.396762    13.547307  2.009315     0.000233   65536.0       0.1  0.05          0.993423
13  3.388496    18.443432  6.961528     0.000295   65536.0       0.1  0.05          0.994362
14  3.344791    13.119817  1.932193     0.000194   65536.0       0.1  0.05          0.993469
15  3.413585    14.323047  2.670488     0.000206   65536.0       0.1  0.05          0.994202
16  3.361980    13.326456  2.023548     0.000218   65536.0       0.1  0.05          0.993683
17  3.406158    15.359970  3.758055     0.000260   65536.0       0.1  0.05          0.993896
18  3.375421    16.470770  5.077303     0.000240   65536.0       0.1  0.05          0.994141
19  3.363036    13.474757  2.164745     0.000193   65536.0       0.1  0.05          0.993858
20  3.392427    13.800020  2.291461     0.000233   65536.0       0.1  0.05          0.993233
21  3.390857    15.018001  3.520091     0.000255   65536.0       0.1  0.05          0.994034
22  3.405569    20.562282  8.964385     0.000345   65536.0       0.1  0.05          0.993660
23  3.394423    15.095255  3.573150     0.000221   65536.0       0.1  0.05          0.993607
24  3.374379    19.879432  8.493000     0.000310   65536.0       0.1  0.05          0.992897
25  3.390239    14.875203  3.381482     0.000246   65536.0       0.1  0.05          0.993935
26  3.414542    13.990917  2.331819     0.000207   65536.0       0.1  0.05          0.993584
27  3.413032    16.721180  5.072395     0.000247   65536.0       0.1  0.05          0.994293
28  3.377499    13.936628  2.529131     0.000206   65536.0       0.1  0.05          0.993729
29  3.364732    14.124643  2.803218     0.000227   65536.0       0.1  0.05          0.993393
30  3.384087    15.256312  3.804265     0.000238   65536.0       0.1  0.05          0.993576
31  3.378381    14.415741  3.002286     0.000234   65536.0       0.1  0.05          0.993866
32  3.401754    14.130937  2.559005     0.000217   65536.0       0.1  0.05          0.993767
33  3.404868    15.004019  3.410893     0.000294   65536.0       0.1  0.05          0.993431
34  3.367040    17.398358  6.061400     0.000273   65536.0       0.1  0.05          0.994446
35  3.386195    14.015752  2.549434     0.000244   65536.0       0.1  0.05          0.994125
36  3.391081    14.762911  3.263480     0.000261   65536.0       0.1  0.05          0.993881
37  3.383325    15.376402  3.929517     0.000262   65536.0       0.1  0.05          0.993393
38  3.389890    14.942308  3.450955     0.000226   65536.0       0.1  0.05          0.993805
39  3.403566    14.022224  2.437962     0.000274   65536.0       0.1  0.05          0.994514
40  3.377144    14.295692  2.890589     0.000221   65536.0       0.1  0.05          0.993492
41  3.366745    15.187051  3.852078     0.000259   65536.0       0.1  0.05          0.993698
42  3.400516    18.257095  6.693588     0.000288   65536.0       0.1  0.05          0.993820
43  3.397761    15.133569  3.588788     0.000261   65536.0       0.1  0.05          0.993698
44  3.390701    13.895184  2.398328     0.000217   65536.0       0.1  0.05          0.993881
45  3.374252    15.804064  4.418488     0.000256   65536.0       0.1  0.05          0.993477
46  3.404433    14.025070  2.434909     0.000243   65536.0       0.1  0.05          0.993546
47  3.381070    13.816264  2.384632     0.000212   65536.0       0.1  0.05          0.993126
48  3.343717    13.521723  2.341279     0.000194   65536.0       0.1  0.05          0.993591
49  3.383324    14.519866  3.072982     0.000220   65536.0       0.1  0.05          0.993553
