      Energy  Energy_sqrd  QuantVar  BlockingVar  MCcycles  TimeStep   Eta  AcceptanceRation
0   2.485104     7.288069  1.112329     0.000284   65536.0       0.1  0.05          0.993797
1   2.499512     7.400677  1.153118     0.000310   65536.0       0.1  0.05          0.993820
2   2.473473     7.219439  1.101369     0.000278   65536.0       0.1  0.05          0.993683
3   2.489175     7.286739  1.090747     0.000271   65536.0       0.1  0.05          0.993279
4   2.532909     7.586769  1.171139     0.000289   65536.0       0.1  0.05          0.993599
5   2.511352     7.441908  1.135018     0.000309   65536.0       0.1  0.05          0.994179
6   2.528692     7.565966  1.171685     0.000297   65536.0       0.1  0.05          0.993546
7   2.494482     7.358680  1.136242     0.000302   65536.0       0.1  0.05          0.993828
8   2.533810     7.595176  1.174984     0.000292   65536.0       0.1  0.05          0.993126
9   2.483457     7.275647  1.108086     0.000294   65536.0       0.1  0.05          0.993462
10  2.481159     7.258260  1.102109     0.000331   65536.0       0.1  0.05          0.994080
11  2.511214     7.464795  1.158597     0.000310   65536.0       0.1  0.05          0.993446
12  2.516565     7.465860  1.132763     0.000284   65536.0       0.1  0.05          0.994102
13  2.485715     7.257784  1.079004     0.000272   65536.0       0.1  0.05          0.993820
14  2.516695     7.482779  1.149024     0.000303   65536.0       0.1  0.05          0.994179
15  2.495646     7.347131  1.118880     0.000275   65536.0       0.1  0.05          0.993889
16  2.504141     7.402228  1.131505     0.000281   65536.0       0.1  0.05          0.993431
17  2.530881     7.566942  1.161581     0.000288   65536.0       0.1  0.05          0.993324
18  2.485548     7.294012  1.116062     0.000307   65536.0       0.1  0.05          0.992813
19  2.502761     7.423270  1.159457     0.000292   65536.0       0.1  0.05          0.993294
20  2.533420     7.589990  1.171772     0.000355   65536.0       0.1  0.05          0.993088
21  2.519248     7.487628  1.141019     0.000346   65536.0       0.1  0.05          0.993675
22  2.517530     7.509767  1.171812     0.000288   65536.0       0.1  0.05          0.993866
23  2.485072     7.235356  1.059772     0.000285   65536.0       0.1  0.05          0.993568
24  2.470654     7.163757  1.059626     0.000263   65536.0       0.1  0.05          0.993629
25  2.504110     7.424149  1.153581     0.000302   65536.0       0.1  0.05          0.993980
26  2.481619     7.219141  1.060709     0.000272   65536.0       0.1  0.05          0.993141
27  2.475035     7.217745  1.091948     0.000276   65536.0       0.1  0.05          0.993935
28  2.495117     7.357514  1.131904     0.000280   65536.0       0.1  0.05          0.993500
29  2.488179     7.309722  1.118688     0.000282   65536.0       0.1  0.05          0.993752
30  2.511903     7.399324  1.089667     0.000276   65536.0       0.1  0.05          0.993378
31  2.515208     7.510003  1.183732     0.000290   65536.0       0.1  0.05          0.993843
32  2.494648     7.364112  1.140843     0.000293   65536.0       0.1  0.05          0.993767
33  2.493563     7.327407  1.109549     0.000259   65536.0       0.1  0.05          0.993439
34  2.503599     7.392736  1.124728     0.000273   65536.0       0.1  0.05          0.993080
35  2.485027     7.311915  1.136554     0.000290   65536.0       0.1  0.05          0.993965
36  2.534867     7.595875  1.170322     0.000283   65536.0       0.1  0.05          0.993912
37  2.469647     7.200508  1.101354     0.000280   65536.0       0.1  0.05          0.993706
38  2.476842     7.220540  1.085793     0.000260   65536.0       0.1  0.05          0.993034
39  2.472882     7.249572  1.134427     0.000342   65536.0       0.1  0.05          0.993484
40  2.465707     7.131263  1.051552     0.000253   65536.0       0.1  0.05          0.994354
41  2.504744     7.411497  1.137753     0.000295   65536.0       0.1  0.05          0.993057
42  2.554377     7.745779  1.220936     0.000324   65536.0       0.1  0.05          0.993706
43  2.486019     7.285253  1.104965     0.000264   65536.0       0.1  0.05          0.993614
44  2.512140     7.423012  1.112165     0.000262   65536.0       0.1  0.05          0.993698
45  2.502582     7.359831  1.096912     0.000270   65536.0       0.1  0.05          0.993256
46  2.505967     7.395793  1.115922     0.000328   65536.0       0.1  0.05          0.993736
47  2.499670     7.336638  1.088287     0.000298   65536.0       0.1  0.05          0.993446
48  2.486226     7.262945  1.081626     0.000265   65536.0       0.1  0.05          0.993477
49  2.492974     7.363666  1.148749     0.000339   65536.0       0.1  0.05          0.993919
