       Energy  Energy_sqrd    QuantVar  BlockingVar  MCcycles  TimeStep   Eta  AcceptanceRation
0   13.088540   194.386483   23.076613     0.011419   65536.0       0.1  0.05          0.994194
1   10.984083   140.044860   19.394783     0.010016   65536.0       0.1  0.05          0.993324
2    8.932954   465.421743  385.624080     0.011440   65536.0       0.1  0.05          0.993942
3    7.235053    63.907899   11.561900     0.005544   65536.0       0.1  0.05          0.993332
4    5.916306    43.381234    8.378555     0.003973   65536.0       0.1  0.05          0.993973
5    4.974702    30.573570    5.825915     0.002724   65536.0       0.1  0.05          0.993675
6    4.365039    24.061970    5.008402     0.001600   65536.0       0.1  0.05          0.993599
7    4.099423    21.119564    4.314298     0.001156   65536.0       0.1  0.05          0.993996
8    3.777296    17.576045    3.308083     0.000706   65536.0       0.1  0.05          0.993973
9    3.703080    16.334576    2.621773     0.000606   65536.0       0.1  0.05          0.993576
10   3.675077    16.461395    2.955203     0.000472   65536.0       0.1  0.05          0.994133
11   3.631640    17.353272    4.164465     0.000484   65536.0       0.1  0.05          0.994675
12   3.637756    16.001399    2.768131     0.000515   65536.0       0.1  0.05          0.994225
13   3.646834    18.045675    4.746274     0.000467   65536.0       0.1  0.05          0.994148
14   3.693137    17.012684    3.373426     0.000517   65536.0       0.1  0.05          0.993477
15   3.698842    16.506986    2.825556     0.000522   65536.0       0.1  0.05          0.994347
16   3.793081    17.828713    3.441252     0.000503   65536.0       0.1  0.05          0.994537
17   3.792859    19.090703    4.704922     0.000709   65536.0       0.1  0.05          0.993973
18   3.802615    18.075643    3.615763     0.000699   65536.0       0.1  0.05          0.994850
19   3.755087    16.715238    2.614559     0.000597   65536.0       0.1  0.05          0.994133
20   3.749489    17.900367    3.841699     0.000697   65536.0       0.1  0.05          0.994507
21   3.694584    16.882250    3.232296     0.000516   65536.0       0.1  0.05          0.993721
22   3.747818    17.305626    3.259488     0.000643   65536.0       0.1  0.05          0.993347
23   3.779409    17.103302    2.819371     0.000633   65536.0       0.1  0.05          0.994492
24   3.723910    16.885228    3.017721     0.000615   65536.0       0.1  0.05          0.994057
25   3.727293    16.923457    3.030743     0.000615   65536.0       0.1  0.05          0.993652
26   3.665318    16.513416    3.078858     0.000502   65536.0       0.1  0.05          0.994232
27   3.624471    15.846702    2.709914     0.000502   65536.0       0.1  0.05          0.993675
28   3.657201    17.182486    3.807369     0.000540   65536.0       0.1  0.05          0.993919
29   3.642829    16.000041    2.729838     0.000481   65536.0       0.1  0.05          0.994286
30   3.565650    15.980585    3.266723     0.000415   65536.0       0.1  0.05          0.993828
31   3.600838    15.551806    2.585771     0.000399   65536.0       0.1  0.05          0.994324
32   3.551247    14.852254    2.240899     0.000376   65536.0       0.1  0.05          0.993698
33   3.501501    14.728257    2.467745     0.000364   65536.0       0.1  0.05          0.994209
34   3.516571    15.004110    2.637836     0.000369   65536.0       0.1  0.05          0.993599
35   3.490611    15.813275    3.628908     0.000307   65536.0       0.1  0.05          0.993874
36   3.517100    15.327643    2.957653     0.000352   65536.0       0.1  0.05          0.994171
37   3.495340    15.894909    3.677509     0.000346   65536.0       0.1  0.05          0.993568
38   3.476057    16.240928    4.157953     0.000299   65536.0       0.1  0.05          0.994270
39   3.481587    14.640595    2.519147     0.000297   65536.0       0.1  0.05          0.993874
40   3.436926    14.013522    2.201062     0.000279   65536.0       0.1  0.05          0.993660
41   3.435530    14.328707    2.525838     0.000284   65536.0       0.1  0.05          0.993744
42   3.416014    13.923567    2.254418     0.000273   65536.0       0.1  0.05          0.993942
43   3.430294    15.524238    3.757319     0.000294   65536.0       0.1  0.05          0.994041
44   3.413760    14.196565    2.542808     0.000266   65536.0       0.1  0.05          0.993370
45   3.393185    13.702015    2.188310     0.000228   65536.0       0.1  0.05          0.994072
46   3.439830    15.655329    3.822896     0.000270   65536.0       0.1  0.05          0.993912
47   3.401101    15.196170    3.628684     0.000226   65536.0       0.1  0.05          0.994202
48   3.412479    14.881614    3.236602     0.000226   65536.0       0.1  0.05          0.993828
49   3.413883    13.859105    2.204509     0.000241   65536.0       0.1  0.05          0.994347
