       Energy  Energy_sqrd   QuantVar  BlockingVar  MCcycles  TimeStep   Eta  AcceptanceRation
0   12.575753   179.943548  21.793979     0.010325   65536.0       0.1  0.05          0.993538
1    2.547924     7.721304   1.229387     0.000303   65536.0       0.1  0.05          0.993240
2    2.487665     7.305167   1.116690     0.000337   65536.0       0.1  0.05          0.993202
3    2.500654     7.343482   1.090211     0.000278   65536.0       0.1  0.05          0.993645
4    2.539816     7.621708   1.171041     0.000323   65536.0       0.1  0.05          0.993736
5    2.529655     7.583146   1.183993     0.000326   65536.0       0.1  0.05          0.994232
6    2.503011     7.369084   1.104020     0.000287   65536.0       0.1  0.05          0.993958
7    2.517419     7.441521   1.104123     0.000266   65536.0       0.1  0.05          0.994141
8    2.517748     7.524201   1.185144     0.000301   65536.0       0.1  0.05          0.994133
9    2.506704     7.435186   1.151623     0.000281   65536.0       0.1  0.05          0.993042
10   2.491249     7.348484   1.142164     0.000300   65536.0       0.1  0.05          0.993690
11   2.487026     7.281891   1.096594     0.000278   65536.0       0.1  0.05          0.993721
12   2.468347     7.203663   1.110925     0.000276   65536.0       0.1  0.05          0.993622
13   2.499335     7.365466   1.118790     0.000275   65536.0       0.1  0.05          0.993271
14   2.474511     7.167401   1.044196     0.000239   65536.0       0.1  0.05          0.993469
15   2.541559     7.626616   1.167094     0.000324   65536.0       0.1  0.05          0.994308
16   2.486668     7.269334   1.085819     0.000248   65536.0       0.1  0.05          0.993851
17   2.524554     7.535803   1.162429     0.000277   65536.0       0.1  0.05          0.993172
18   2.502748     7.389781   1.126035     0.000294   65536.0       0.1  0.05          0.992729
19   2.488577     7.361197   1.168179     0.000311   65536.0       0.1  0.05          0.993378
20   2.527996     7.578863   1.188096     0.000283   65536.0       0.1  0.05          0.993637
21   2.487205     7.269414   1.083227     0.000255   65536.0       0.1  0.05          0.993706
22   2.506250     7.403561   1.122274     0.000294   65536.0       0.1  0.05          0.993668
23   2.494032     7.311196   1.091000     0.000259   65536.0       0.1  0.05          0.993492
24   2.478079     7.251014   1.110137     0.000314   65536.0       0.1  0.05          0.994102
25   2.465290     7.103486   1.025833     0.000236   65536.0       0.1  0.05          0.993484
26   2.498538     7.378568   1.135876     0.000280   65536.0       0.1  0.05          0.993629
27   2.506529     7.386282   1.103596     0.000264   65536.0       0.1  0.05          0.994133
28   2.496813     7.318667   1.084593     0.000326   65536.0       0.1  0.05          0.993591
29   2.498047     7.362565   1.122327     0.000264   65536.0       0.1  0.05          0.993973
30   2.504728     7.405053   1.131388     0.000281   65536.0       0.1  0.05          0.993362
31   2.493916     7.297384   1.077767     0.000289   65536.0       0.1  0.05          0.993668
32   2.486899     7.307203   1.122535     0.000301   65536.0       0.1  0.05          0.993164
33   2.521149     7.463590   1.107400     0.000250   65536.0       0.1  0.05          0.993851
34   2.506589     7.414583   1.131594     0.000297   65536.0       0.1  0.05          0.993340
35   2.498813     7.389522   1.145454     0.000282   65536.0       0.1  0.05          0.993271
36   2.482717     7.227888   1.064006     0.000264   65536.0       0.1  0.05          0.993317
37   2.495000     7.382766   1.157741     0.000295   65536.0       0.1  0.05          0.993179
38   2.493328     7.317340   1.100655     0.000285   65536.0       0.1  0.05          0.993004
39   2.459345     7.114575   1.066196     0.000266   65536.0       0.1  0.05          0.993835
40   2.509257     7.441279   1.144908     0.000334   65536.0       0.1  0.05          0.993561
41   2.512413     7.463351   1.151132     0.000292   65536.0       0.1  0.05          0.993744
42   2.517773     7.452075   1.112893     0.000298   65536.0       0.1  0.05          0.994164
43   2.520807     7.510431   1.155963     0.000299   65536.0       0.1  0.05          0.994156
44   2.479881     7.257270   1.107459     0.000280   65536.0       0.1  0.05          0.993469
45   2.509237     7.411232   1.114960     0.000308   65536.0       0.1  0.05          0.992645
46   2.505623     7.442331   1.164186     0.000314   65536.0       0.1  0.05          0.994011
47   2.505790     7.394880   1.115898     0.000284   65536.0       0.1  0.05          0.993553
48   2.463869     7.135470   1.064822     0.000277   65536.0       0.1  0.05          0.993431
49   2.497654     7.346509   1.108234     0.000276   65536.0       0.1  0.05          0.993721
