       Energy   Energy_sqrd      QuantVar  BlockingVar  MCcycles  TimeStep   Eta  AcceptanceRation
0    8.766348  1.222553e+04  1.214868e+04     0.194491   65536.0       0.1  0.05          0.988594
1   10.143107  8.303719e+04  8.293431e+04     1.265947   65536.0       0.1  0.05          0.988876
2   21.961961  1.057583e+07  1.057535e+07   161.367076   65536.0       0.1  0.05          0.988953
3   11.510870  4.734367e+05  4.733042e+05     7.222048   65536.0       0.1  0.05          0.988426
4    6.211332  9.837383e+03  9.798802e+03     0.149518   65536.0       0.1  0.05          0.988998
5    3.912797  9.266388e+02  9.113288e+02     0.021238   65536.0       0.1  0.05          0.989418
6    3.596203  4.562434e+03  4.549501e+03     0.069420   65536.0       0.1  0.05          0.989456
7    4.219784  4.198817e+01  2.418159e+01     0.001141   65536.0       0.1  0.05          0.989693
8    5.067955  3.497603e+01  9.291870e+00     0.001358   65536.0       0.1  0.05          0.989594
9    5.362743  3.395938e+01  5.200370e+00     0.001494   65536.0       0.1  0.05          0.989120
10   5.067402  6.228112e+01  3.660256e+01     0.001551   65536.0       0.1  0.05          0.988541
11   4.597509  2.733558e+01  6.198491e+00     0.001158   65536.0       0.1  0.05          0.989243
12   3.924725  3.135354e+01  1.595008e+01     0.000858   65536.0       0.1  0.05          0.989555
13   3.595564  1.393541e+02  1.264261e+02     0.002160   65536.0       0.1  0.05          0.989410
14   4.777943  9.483275e+04  9.480992e+04     1.446685   65536.0       0.1  0.05          0.989685
15   5.337514  6.750828e+04  6.747979e+04     1.029660   65536.0       0.1  0.05          0.990036
16   3.667265  6.276080e+02  6.141592e+02     0.009720   65536.0       0.1  0.05          0.989532
17   4.621935  5.547502e+04  5.545365e+04     0.846156   65536.0       0.1  0.05          0.989014
18   3.640336  2.928939e+02  2.796419e+02     0.004417   65536.0       0.1  0.05          0.990273
19   3.575694  1.832398e+02  1.704542e+02     0.002790   65536.0       0.1  0.05          0.989769
20   3.664243  1.556499e+02  1.422232e+02     0.002358   65536.0       0.1  0.05          0.989555
21   3.675903  3.764225e+01  2.412999e+01     0.000719   65536.0       0.1  0.05          0.989891
22  10.754646  3.094817e+06  3.094702e+06    47.221399   65536.0       0.1  0.05          0.989120
23   4.417349  2.631791e+01  6.804940e+00     0.000900   65536.0       0.1  0.05          0.989304
24   5.251257  3.446003e+01  6.884324e+00     0.001634   65536.0       0.1  0.05          0.989365
25   5.988925  4.193099e+01  6.063760e+00     0.002110   65536.0       0.1  0.05          0.989799
26   6.344387  4.695744e+01  6.706198e+00     0.002328   65536.0       0.1  0.05          0.989960
27   6.346358  4.697080e+01  6.694542e+00     0.002509   65536.0       0.1  0.05          0.989616
28   5.976516  4.215582e+01  6.437076e+00     0.002218   65536.0       0.1  0.05          0.989532
29   5.330758  3.435717e+01  5.940193e+00     0.001500   65536.0       0.1  0.05          0.989540
30   4.574825  6.887963e+01  4.795061e+01     0.001575   65536.0       0.1  0.05          0.988899
31   4.001909  8.760742e+01  7.159215e+01     0.001599   65536.0       0.1  0.05          0.989456
32   3.661136  1.386609e+02  1.252570e+02     0.002141   65536.0       0.1  0.05          0.990051
33   3.422031  1.468753e+02  1.351650e+02     0.002260   65536.0       0.1  0.05          0.989418
34   4.539023  6.184094e+04  6.182034e+04     0.943304   65536.0       0.1  0.05          0.989891
35   4.094967  4.816999e+03  4.800230e+03     0.073246   65536.0       0.1  0.05          0.989357
36   4.038646  4.291967e+03  4.275657e+03     0.065241   65536.0       0.1  0.05          0.989685
37   5.343776  3.903033e+04  3.900178e+04     0.595649   65536.0       0.1  0.05          0.988876
38   5.381860  2.303621e+05  2.303332e+05     3.514605   65536.0       0.1  0.05          0.988754
39   3.950419  3.494029e+03  3.478423e+03     0.053077   65536.0       0.1  0.05          0.989616
40   3.788458  4.703919e+03  4.689567e+03     0.071649   65536.0       0.1  0.05          0.989426
41   6.833809  5.428662e+05  5.428195e+05     8.282768   65536.0       0.1  0.05          0.989746
42   3.483543  3.324390e+01  2.110882e+01     0.000675   65536.0       0.1  0.05          0.990189
43   3.967766  2.329937e+01  7.556200e+00     0.000656   65536.0       0.1  0.05          0.988899
44   4.343236  3.188513e+01  1.302143e+01     0.000959   65536.0       0.1  0.05          0.988716
45   4.751467  2.776924e+01  5.192807e+00     0.001056   65536.0       0.1  0.05          0.988998
46   4.946482  2.915024e+01  4.682558e+00     0.001285   65536.0       0.1  0.05          0.989502
47   4.842596  2.971079e+01  6.260062e+00     0.001129   65536.0       0.1  0.05          0.989304
48   4.539301  2.594814e+01  5.342885e+00     0.001002   65536.0       0.1  0.05          0.989624
49   4.211017  7.007202e+01  5.233936e+01     0.001428   65536.0       0.1  0.05          0.989319
