        Energy   Energy_sqrd      QuantVar    BlockingVar  MCcycles  TimeStep   Eta  AcceptanceRation
0    10.087009  5.374567e+04  5.364392e+04       0.818541   65536.0       0.1  0.05          0.988670
1    12.985373  3.453703e+05  3.452017e+05       5.267360   65536.0       0.1  0.05          0.988251
2    19.981951  2.901219e+06  2.900819e+06      44.262990   65536.0       0.1  0.05          0.989395
3    10.785578  3.800978e+04  3.789345e+04       0.578334   65536.0       0.1  0.05          0.988899
4   789.254668  3.981407e+10  3.981345e+10  607504.993013   65536.0       0.1  0.05          0.988480
5    13.715206  4.315897e+05  4.314016e+05       6.517339   65536.0       0.1  0.05          0.988640
6    11.362741  1.684126e+05  1.682835e+05       2.579838   65536.0       0.1  0.05          0.988541
7    17.518393  2.310332e+06  2.310025e+06      35.246977   65536.0       0.1  0.05          0.988869
8    13.191196  3.361688e+05  3.359948e+05       5.126552   65536.0       0.1  0.05          0.989388
9    17.523489  2.543526e+06  2.543219e+06      38.806444   65536.0       0.1  0.05          0.989052
10   10.823586  8.558330e+04  8.546615e+04       1.304110   65536.0       0.1  0.05          0.988411
11   10.928543  1.312435e+05  1.311240e+05       2.000794   65536.0       0.1  0.05          0.987938
12   12.843215  3.916896e+05  3.915246e+05       5.975446   65536.0       0.1  0.05          0.988304
13   13.070740  2.518131e+05  2.516423e+05       3.839757   65536.0       0.1  0.05          0.987343
14   15.554800  1.868417e+06  1.868175e+06      28.506086   65536.0       0.1  0.05          0.989944
15   10.877894  4.426909e+04  4.415077e+04       0.673687   65536.0       0.1  0.05          0.988564
16   35.345870  3.974586e+07  3.974461e+07     606.454664   65536.0       0.1  0.05          0.988647
17    9.568088  2.030913e+04  2.021758e+04       0.309245   65536.0       0.1  0.05          0.989075
18   10.569051  1.009683e+05  1.008566e+05       1.540894   65536.0       0.1  0.05          0.988380
19    8.758172  1.795862e+04  1.788192e+04       0.272856   65536.0       0.1  0.05          0.988808
20   11.165838  1.190849e+05  1.189602e+05       1.815189   65536.0       0.1  0.05          0.988945
21   10.107012  5.583392e+04  5.573177e+04       0.854196   65536.0       0.1  0.05          0.988297
22   15.101016  1.440500e+06  1.440272e+06      21.976801   65536.0       0.1  0.05          0.988388
23    9.700041  2.684109e+04  2.674700e+04       0.408127   65536.0       0.1  0.05          0.988754
24    9.730690  4.915355e+04  4.905886e+04       0.748579   65536.0       0.1  0.05          0.988663
25   10.084541  1.466693e+05  1.465676e+05       2.236444   65536.0       0.1  0.05          0.988861
26   10.411699  9.625325e+04  9.614485e+04       1.467054   65536.0       0.1  0.05          0.989098
27   10.879537  1.209196e+05  1.208012e+05       2.728589   65536.0       0.1  0.05          0.989113
28    9.152789  3.688008e+04  3.679631e+04       0.569948   65536.0       0.1  0.05          0.988838
29  193.978645  2.169038e+09  2.169000e+09   33096.311923   65536.0       0.1  0.05          0.988197
30   11.906425  1.388319e+05  1.386902e+05       3.205558   65536.0       0.1  0.05          0.989380
31    8.594561  1.230677e+04  1.223290e+04       0.187194   65536.0       0.1  0.05          0.989120
32   11.008084  6.790251e+04  6.778133e+04       1.034261   65536.0       0.1  0.05          0.989296
33    9.325361  1.817440e+04  1.808744e+04       0.276651   65536.0       0.1  0.05          0.988617
34    9.681536  5.304194e+04  5.294821e+04       0.807926   65536.0       0.1  0.05          0.989761
35    9.321660  1.283041e+04  1.274352e+04       0.196798   65536.0       0.1  0.05          0.989319
36   12.837649  5.460307e+05  5.458659e+05       8.329253   65536.0       0.1  0.05          0.988518
37   10.253638  7.720424e+04  7.709910e+04       1.176439   65536.0       0.1  0.05          0.989059
38   14.525840  6.810228e+05  6.808118e+05      10.388364   65536.0       0.1  0.05          0.989113
39   13.463032  5.984034e+05  5.982221e+05       9.128145   65536.0       0.1  0.05          0.988274
40   10.411875  1.835056e+05  1.833971e+05       2.798418   65536.0       0.1  0.05          0.988373
41   10.590855  7.883036e+04  7.871820e+04       1.202143   65536.0       0.1  0.05          0.989471
42   28.466863  1.972693e+07  1.972612e+07     300.996739   65536.0       0.1  0.05          0.988777
43    9.623443  8.054530e+04  8.045269e+04       1.227611   65536.0       0.1  0.05          0.988937
44   13.470062  1.893376e+05  1.891562e+05       2.886294   65536.0       0.1  0.05          0.988373
45   11.048386  1.539923e+05  1.538703e+05       2.347874   65536.0       0.1  0.05          0.988625
46    9.256404  3.113853e+04  3.105285e+04       0.473829   65536.0       0.1  0.05          0.988647
47   74.938775  1.384486e+08  1.384430e+08    2112.472113   65536.0       0.1  0.05          0.989159
48    9.328943  3.826259e+04  3.817556e+04       0.582513   65536.0       0.1  0.05          0.988976
49   13.803413  5.502565e+05  5.500660e+05       8.393340   65536.0       0.1  0.05          0.988419
