      Energy  Energy_sqrd    QuantVar  BlockingVar  MCcycles  TimeStep   Eta  AcceptanceRation
0   3.239738    13.824180    3.328275     0.000119   65536.0       0.1  0.05          0.978363
1   3.481910    14.980026    2.856328     0.000133   65536.0       0.1  0.05          0.979485
2   3.259420    15.333961    4.710144     0.000135   65536.0       0.1  0.05          0.978889
3   3.272100    14.836927    4.130290     0.000137   65536.0       0.1  0.05          0.978607
4   3.350536    20.718938    9.492845     0.000232   65536.0       0.1  0.05          0.978279
5   3.356071    17.740781    6.477566     0.000185   65536.0       0.1  0.05          0.979294
6   3.260112    13.905304    3.276971     0.000111   65536.0       0.1  0.05          0.979301
7   3.244584    14.243480    3.716155     0.000097   65536.0       0.1  0.05          0.981049
8   3.260241    13.211919    2.582751     0.000074   65536.0       0.1  0.05          0.980377
9   3.272091    13.376836    2.670256     0.000076   65536.0       0.1  0.05          0.978821
10  3.261313    12.585125    1.948960     0.000076   65536.0       0.1  0.05          0.978836
11  3.281969    14.382216    3.610893     0.000113   65536.0       0.1  0.05          0.978691
12  3.258237    14.665845    4.049734     0.000121   65536.0       0.1  0.05          0.979279
13  3.233629    16.687695    6.231340     0.000151   65536.0       0.1  0.05          0.979393
14  3.293171   190.990999  180.146026     0.002749   65536.0       0.1  0.05          0.979134
15  3.246281    15.828276    5.289938     0.000145   65536.0       0.1  0.05          0.977562
16  3.227386    12.964161    2.548141     0.000093   65536.0       0.1  0.05          0.979431
17  3.250603    14.650606    4.084183     0.000103   65536.0       0.1  0.05          0.978836
18  3.237387    13.410673    2.930000     0.000096   65536.0       0.1  0.05          0.980637
19  3.250185    14.017017    3.453316     0.000095   65536.0       0.1  0.05          0.978844
20  3.226922    12.909748    2.496725     0.000070   65536.0       0.1  0.05          0.980614
21  3.237404    13.405892    2.925110     0.000084   65536.0       0.1  0.05          0.980064
22  3.233446    12.967118    2.511943     0.000090   65536.0       0.1  0.05          0.979080
23  3.273169    42.158576   31.444940     0.000538   65536.0       0.1  0.05          0.979904
24  3.228220    13.414913    2.993509     0.000097   65536.0       0.1  0.05          0.978859
25  3.239824    13.659863    3.163403     0.000094   65536.0       0.1  0.05          0.979019
26  3.231515    14.400556    3.957867     0.000114   65536.0       0.1  0.05          0.978424
27  3.226224    13.139635    2.731114     0.000082   65536.0       0.1  0.05          0.980507
28  3.212824    13.999839    3.677600     0.000099   65536.0       0.1  0.05          0.979858
29  3.224022    13.083479    2.689162     0.000084   65536.0       0.1  0.05          0.979477
30  3.234249    12.817748    2.357384     0.000081   65536.0       0.1  0.05          0.979446
31  3.248117    13.551425    3.001161     0.000085   65536.0       0.1  0.05          0.980209
32  3.237673    15.071301    4.588773     0.000138   65536.0       0.1  0.05          0.979973
33  3.239453    13.337539    2.843483     0.000085   65536.0       0.1  0.05          0.979462
34  3.227709    12.353040    1.934936     0.000075   65536.0       0.1  0.05          0.980011
35  3.215888    13.410705    3.068771     0.000085   65536.0       0.1  0.05          0.979759
36  3.221610    13.265478    2.886709     0.000086   65536.0       0.1  0.05          0.979057
37  3.216698    15.313071    4.965928     0.000121   65536.0       0.1  0.05          0.979042
38  3.236250    19.969908    9.496597     0.000196   65536.0       0.1  0.05          0.979118
39  3.210431    13.303250    2.996384     0.000090   65536.0       0.1  0.05          0.979515
40  3.208494    14.426191    4.131755     0.000106   65536.0       0.1  0.05          0.979797
41  3.224319    13.100351    2.704117     0.000090   65536.0       0.1  0.05          0.980789
42  3.219925    12.850012    2.482095     0.000079   65536.0       0.1  0.05          0.979660
43  3.229451    14.249611    3.820255     0.000102   65536.0       0.1  0.05          0.980598
44  3.208221    12.281445    1.988761     0.000068   65536.0       0.1  0.05          0.979874
45  3.217873    15.227264    4.872557     0.000120   65536.0       0.1  0.05          0.980446
46  3.238067    20.218623    9.733543     0.000184   65536.0       0.1  0.05          0.979141
47  3.201953    18.077060    7.824556     0.000156   65536.0       0.1  0.05          0.978981
48  3.219970    12.968351    2.600143     0.000093   65536.0       0.1  0.05          0.979858
49  3.227457    13.851833    3.435352     0.000097   65536.0       0.1  0.05          0.979660
