      Energy  Energy_sqrd   QuantVar  BlockingVar  MCcycles  TimeStep   Eta  AcceptanceRation
0   3.241035    15.733362   5.229056     0.000147   65536.0       0.1  0.05          0.979637
1   3.256355    14.347104   3.743258     0.000127   65536.0       0.1  0.05          0.979294
2   3.226371    13.922272   3.512799     0.000112   65536.0       0.1  0.05          0.979820
3   3.205562    12.938217   2.662589     0.000088   65536.0       0.1  0.05          0.979965
4   3.226594    13.696557   3.285646     0.000100   65536.0       0.1  0.05          0.979362
5   3.228024    13.465082   3.044944     0.000085   65536.0       0.1  0.05          0.979004
6   3.233779    13.670315   3.212989     0.000092   65536.0       0.1  0.05          0.980103
7   3.238877    13.199678   2.709353     0.000078   65536.0       0.1  0.05          0.980125
8   3.217395    13.056041   2.704408     0.000093   65536.0       0.1  0.05          0.980934
9   3.229099    13.532221   3.105138     0.000087   65536.0       0.1  0.05          0.980408
10  3.230275    14.320694   3.886014     0.000118   65536.0       0.1  0.05          0.980225
11  3.223895    12.697384   2.303886     0.000080   65536.0       0.1  0.05          0.980614
12  3.210285    12.539414   2.233481     0.000079   65536.0       0.1  0.05          0.979736
13  3.223502    13.317415   2.926452     0.000093   65536.0       0.1  0.05          0.979179
14  3.206447    13.891348   3.610043     0.000102   65536.0       0.1  0.05          0.979446
15  3.221120    13.246196   2.870585     0.000095   65536.0       0.1  0.05          0.979874
16  3.248266    63.254147  52.702917     0.000833   65536.0       0.1  0.05          0.980278
17  3.206568    13.416058   3.133982     0.000100   65536.0       0.1  0.05          0.980232
18  3.213730    13.616239   3.288176     0.000097   65536.0       0.1  0.05          0.980209
19  3.207498    13.341219   3.053174     0.000095   65536.0       0.1  0.05          0.980995
20  3.193179    17.599271   7.402880     0.000157   65536.0       0.1  0.05          0.980812
21  3.223538    76.241845  65.850648     0.001027   65536.0       0.1  0.05          0.979401
22  3.197326    17.940435   7.717543     0.000157   65536.0       0.1  0.05          0.979561
23  3.165476    14.082310   4.062074     0.000108   65536.0       0.1  0.05          0.980873
24  3.165955    12.521755   2.498487     0.000083   65536.0       0.1  0.05          0.978981
25  3.160867    15.342533   5.351451     0.000115   65536.0       0.1  0.05          0.978592
26  3.191158    20.751717  10.568229     0.000199   65536.0       0.1  0.05          0.979355
27  3.165867    12.451706   2.428990     0.000077   65536.0       0.1  0.05          0.979080
28  3.169318    14.168108   4.123532     0.000106   65536.0       0.1  0.05          0.978783
29  3.159605    12.733111   2.750010     0.000078   65536.0       0.1  0.05          0.977051
30  3.156153    12.548433   2.587130     0.000076   65536.0       0.1  0.05          0.978348
31  3.172848    17.859602   7.792640     0.000154   65536.0       0.1  0.05          0.978493
32  3.164798    14.083363   4.067417     0.000091   65536.0       0.1  0.05          0.978508
33  3.157523    13.113751   3.143799     0.000086   65536.0       0.1  0.05          0.978470
34  3.164078    15.003507   4.992119     0.000114   65536.0       0.1  0.05          0.976959
35  3.149761    12.511145   2.590149     0.000081   65536.0       0.1  0.05          0.977020
36  3.148356    11.967197   2.055052     0.000068   65536.0       0.1  0.05          0.976913
37  3.153662    12.599627   2.654045     0.000076   65536.0       0.1  0.05          0.978523
38  3.147705    12.712200   2.804156     0.000076   65536.0       0.1  0.05          0.978218
39  3.155151    15.001269   5.046294     0.000110   65536.0       0.1  0.05          0.979233
40  3.129424    12.366096   2.572803     0.000069   65536.0       0.1  0.05          0.978439
41  3.147317    13.561550   3.655948     0.000099   65536.0       0.1  0.05          0.977989
42  3.135948    12.373692   2.539519     0.000079   65536.0       0.1  0.05          0.979240
43  3.130385    12.595560   2.796249     0.000080   65536.0       0.1  0.05          0.978973
44  3.140035    12.381275   2.521454     0.000070   65536.0       0.1  0.05          0.979576
45  3.141633    13.534460   3.664600     0.000090   65536.0       0.1  0.05          0.978729
46  3.132928    17.197385   7.382145     0.000149   65536.0       0.1  0.05          0.979515
47  3.125639    14.302618   4.533001     0.000102   65536.0       0.1  0.05          0.978310
48  3.103715    12.332337   2.699290     0.000066   65536.0       0.1  0.05          0.980301
49  3.115871    25.558086  15.849434     0.000262   65536.0       0.1  0.05          0.979881
