       Energy  Energy_sqrd   QuantVar  BlockingVar   MCcycles  TimeStep    Eta  AcceptanceRation
0    6.772421    56.021430  10.155739     0.019768    16384.0       0.1  0.001          0.992950
1    6.753088    55.722629  10.118431     0.019698    16384.0       0.1  0.001          0.992950
2    6.733789    55.425075  10.081167     0.019628    16384.0       0.1  0.001          0.992950
3    6.714523    55.128758  10.043945     0.019558    16384.0       0.1  0.001          0.992950
4    6.697196    54.866062  10.013634     0.019502    16384.0       0.1  0.001          0.993011
5    6.676866    54.552651   9.972110     0.019419    16384.0       0.1  0.001          0.992920
6    6.659597    54.292069   9.941843     0.019365    16384.0       0.1  0.001          0.992981
7    6.640455    54.000389   9.904745     0.019295    16384.0       0.1  0.001          0.992981
8    6.621345    53.709898   9.867685     0.019225    16384.0       0.1  0.001          0.992981
9    6.602267    53.420590   9.830662     0.019155    16384.0       0.1  0.001          0.992981
10   6.583220    53.132459   9.793678     0.019085    16384.0       0.1  0.001          0.992981
11   6.566998    52.883164   9.757695     0.019050    16384.0       0.1  0.001          0.992950
12   6.548008    52.597203   9.720796     0.018980    16384.0       0.1  0.001          0.992950
13   6.529048    52.312407   9.683934     0.018910    16384.0       0.1  0.001          0.992950
14   6.510120    52.028773   9.647108     0.018840    16384.0       0.1  0.001          0.992950
15   6.491223    51.746295   9.610319     0.018770    16384.0       0.1  0.001          0.992950
16   6.472357    51.464969   9.573566     0.018701    16384.0       0.1  0.001          0.992950
17   6.454000    51.190184   9.536070     0.018633    16384.0       0.1  0.001          0.992920
18   6.435195    50.911125   9.499391     0.018563    16384.0       0.1  0.001          0.992920
19   6.416421    50.633210   9.462748     0.018493    16384.0       0.1  0.001          0.992920
20   6.397679    50.356438   9.426142     0.018423    16384.0       0.1  0.001          0.992920
21   6.378968    50.080806   9.389572     0.018353    16384.0       0.1  0.001          0.992920
22   6.360289    49.806314   9.353039     0.018283    16384.0       0.1  0.001          0.992920
23   6.341642    49.532961   9.316542     0.018213    16384.0       0.1  0.001          0.992920
24   6.323026    49.260745   9.280083     0.018143    16384.0       0.1  0.001          0.992920
25   6.304443    48.989668   9.243661     0.018073    16384.0       0.1  0.001          0.992920
26   6.285893    48.719729   9.207277     0.018004    16384.0       0.1  0.001          0.992920
27   6.267808    48.455786   9.170369     0.017932    16384.0       0.1  0.001          0.992859
28   6.250559    48.202995   9.133509     0.017859    16384.0       0.1  0.001          0.992828
29   6.232106    47.936389   9.097243     0.017789    16384.0       0.1  0.001          0.992828
30   6.213687    47.670924   9.061018     0.017719    16384.0       0.1  0.001          0.992828
31   6.195302    47.406604   9.024832     0.017649    16384.0       0.1  0.001          0.992828
32   6.176140    47.135679   8.990974     0.017593    16384.0       0.1  0.001          0.992889
33   6.157827    46.873676   8.954845     0.017523    16384.0       0.1  0.001          0.992889
34   6.139548    46.612798   8.918754     0.017453    16384.0       0.1  0.001          0.992889
35   6.121303    46.353051   8.882705     0.017383    16384.0       0.1  0.001          0.992889
36   6.103093    46.094442   8.846698     0.017314    16384.0       0.1  0.001          0.992889
37   6.084919    45.836975   8.810733     0.017244    16384.0       0.1  0.001          0.992889
38   6.066782    45.580656   8.774814     0.017174    16384.0       0.1  0.001          0.992889
39   6.048682    45.325490   8.738940     0.017104    16384.0       0.1  0.001          0.992889
40   6.030619    45.071482   8.703113     0.017034    16384.0       0.1  0.001          0.992889
41   6.012595    44.818637   8.667334     0.016964    16384.0       0.1  0.001          0.992889
42   5.994610    44.566960   8.631605     0.016894    16384.0       0.1  0.001          0.992889
43   5.976665    44.316455   8.595926     0.016825    16384.0       0.1  0.001          0.992889
44   5.958760    44.067126   8.560300     0.016755    16384.0       0.1  0.001          0.992889
45   5.940897    43.818978   8.524726     0.016685    16384.0       0.1  0.001          0.992889
46   5.923074    43.572016   8.489206     0.016615    16384.0       0.1  0.001          0.992889
47   5.905294    43.326243   8.453742     0.016546    16384.0       0.1  0.001          0.992889
48   5.887557    43.081663   8.418335     0.016476    16384.0       0.1  0.001          0.992889
49   5.869863    42.838280   8.382986     0.016407    16384.0       0.1  0.001          0.992889
50   6.772421    56.021430  10.155739     0.019768    16384.0       0.1  0.005          0.992950
51   6.676880    54.552856   9.972135     0.019419    16384.0       0.1  0.005          0.992920
52   6.583301    53.133686   9.793830     0.019085    16384.0       0.1  0.005          0.992981
53   6.491458    51.749782   9.610757     0.018771    16384.0       0.1  0.005          0.992950
54   6.398169    50.363622   9.427057     0.018425    16384.0       0.1  0.005          0.992920
55   6.305295    49.001998   9.245252     0.018076    16384.0       0.1  0.005          0.992920
56   6.214998    47.689666   9.063468     0.017723    16384.0       0.1  0.005          0.992828
57   6.123159    46.379266   8.886186     0.017390    16384.0       0.1  0.005          0.992889
58   6.033094    45.105986   8.707759     0.017043    16384.0       0.1  0.005          0.992889
59   5.944012    43.861851   8.530576     0.016696    16384.0       0.1  0.005          0.992889
60   5.855943    42.646766   8.354698     0.016350    16384.0       0.1  0.005          0.992889
61   5.768922    41.460658   8.180192     0.016006    16384.0       0.1  0.005          0.992889
62   5.681365    40.280959   8.003053     0.015690    16384.0       0.1  0.005          0.992828
63   5.596734    39.155601   7.832175     0.015335    16384.0       0.1  0.005          0.992828
64   5.512394    38.052071   7.665581     0.015013    16384.0       0.1  0.005          0.992737
65   5.429949    36.981883   7.497542     0.014675    16384.0       0.1  0.005          0.992737
66   5.348754    35.940504   7.331334     0.014338    16384.0       0.1  0.005          0.992737
67   5.268854    34.927886   7.167065     0.014004    16384.0       0.1  0.005          0.992737
68   5.190291    33.943973   7.004848     0.013672    16384.0       0.1  0.005          0.992737
69   5.113111    32.988699   6.844799     0.013343    16384.0       0.1  0.005          0.992737
70   5.037354    32.061976   6.687037     0.013017    16384.0       0.1  0.005          0.992737
71   4.963065    31.163696   6.531682     0.012695    16384.0       0.1  0.005          0.992737
72   4.890586    30.295831   6.378002     0.012370    16384.0       0.1  0.005          0.992767
73   4.819237    29.452441   6.227398     0.012055    16384.0       0.1  0.005          0.992798
74   4.751254    28.661237   6.086822     0.011793    16384.0       0.1  0.005          0.992859
75   4.681646    27.861199   5.943390     0.011466    16384.0       0.1  0.005          0.992859
76   4.615242    27.102021   5.801566     0.011166    16384.0       0.1  0.005          0.992859
77   4.550040    26.366759   5.663894     0.010880    16384.0       0.1  0.005          0.992889
78   4.486986    25.661265   5.528226     0.010591    16384.0       0.1  0.005          0.992889
79   4.425630    24.981973   5.395774     0.010308    16384.0       0.1  0.005          0.992889
80   4.365984    24.328419   5.266605     0.010031    16384.0       0.1  0.005          0.992889
