      Energy  Energy_sqrd   QuantVar  BlockingVar  MCcycles  TimeStep   Eta  AcceptanceRation
0   3.256396    15.066502   4.462387     0.000133   65536.0       0.1  0.05          0.979340
1   3.266651    13.967658   3.296649     0.000114   65536.0       0.1  0.05          0.979309
2   3.240464    13.050786   2.550178     0.000082   65536.0       0.1  0.05          0.979385
3   3.236378    12.754799   2.280657     0.000068   65536.0       0.1  0.05          0.980103
4   3.255205    13.662354   3.065997     0.000080   65536.0       0.1  0.05          0.980164
5   3.235809    12.243730   1.773272     0.000056   65536.0       0.1  0.05          0.980125
6   3.232469    12.848625   2.399768     0.000071   65536.0       0.1  0.05          0.980125
7   3.249515    16.032107   5.472757     0.000150   65536.0       0.1  0.05          0.979996
8   3.242367    13.450514   2.937571     0.000088   65536.0       0.1  0.05          0.979607
9   3.245735    13.808216   3.273419     0.000093   65536.0       0.1  0.05          0.979523
10  3.246874    13.941748   3.399559     0.000096   65536.0       0.1  0.05          0.979736
11  3.243007    13.763050   3.245955     0.000097   65536.0       0.1  0.05          0.979843
12  3.231963    13.116960   2.671378     0.000078   65536.0       0.1  0.05          0.979889
13  3.232314    13.936008   3.488153     0.000086   65536.0       0.1  0.05          0.979851
14  3.228911    12.660586   2.234717     0.000066   65536.0       0.1  0.05          0.980278
15  3.230703    12.562341   2.124899     0.000065   65536.0       0.1  0.05          0.980347
16  3.239641    17.338687   6.843413     0.000139   65536.0       0.1  0.05          0.980331
17  3.238066    14.604660   4.119589     0.000100   65536.0       0.1  0.05          0.980309
18  3.233772    13.304387   2.847104     0.000081   65536.0       0.1  0.05          0.980057
19  3.236318    14.126878   3.653125     0.000096   65536.0       0.1  0.05          0.980049
20  3.236691    14.130152   3.653983     0.000095   65536.0       0.1  0.05          0.980125
21  3.235690    14.018280   3.548593     0.000094   65536.0       0.1  0.05          0.980125
22  3.234764    13.663077   3.199381     0.000088   65536.0       0.1  0.05          0.980232
23  3.242959    16.466370   5.949589     0.000129   65536.0       0.1  0.05          0.980209
24  3.241215    15.265810   4.760336     0.000111   65536.0       0.1  0.05          0.980339
25  3.237663    15.083192   4.600732     0.000107   65536.0       0.1  0.05          0.980400
26  3.243909    20.990835  10.467891     0.000194   65536.0       0.1  0.05          0.980431
27  3.229520    13.969276   3.539475     0.000091   65536.0       0.1  0.05          0.980446
28  3.222813    13.292639   2.906118     0.000082   65536.0       0.1  0.05          0.980713
29  3.223976    15.721006   5.326983     0.000134   65536.0       0.1  0.05          0.980721
30  3.218184    15.011220   4.654508     0.000119   65536.0       0.1  0.05          0.980865
31  3.220036    14.923745   4.555114     0.000120   65536.0       0.1  0.05          0.980827
32  3.218318    14.685961   4.328392     0.000110   65536.0       0.1  0.05          0.980537
33  3.224633    19.780263   9.382005     0.000184   65536.0       0.1  0.05          0.981033
34  3.227835    20.983756  10.564838     0.000209   65536.0       0.1  0.05          0.980896
35  3.208812    14.217809   3.921332     0.000106   65536.0       0.1  0.05          0.980682
36  3.213329    19.564015   9.238531     0.000179   65536.0       0.1  0.05          0.980713
37  3.197159    13.705690   3.483861     0.000097   65536.0       0.1  0.05          0.980659
38  3.186991    12.856171   2.699262     0.000083   65536.0       0.1  0.05          0.980598
39  3.192331    13.942208   3.751232     0.000112   65536.0       0.1  0.05          0.980606
40  3.183097    13.891302   3.759196     0.000113   65536.0       0.1  0.05          0.980560
41  3.178293    14.656318   4.554774     0.000119   65536.0       0.1  0.05          0.980652
42  3.163551    12.389437   2.381385     0.000081   65536.0       0.1  0.05          0.980324
43  3.164999    14.277643   4.260427     0.000109   65536.0       0.1  0.05          0.980286
44  3.154955    12.491723   2.537982     0.000087   65536.0       0.1  0.05          0.980202
45  3.149724    14.541948   4.621188     0.000111   65536.0       0.1  0.05          0.979980
46  3.143040    12.823448   2.944750     0.000082   65536.0       0.1  0.05          0.979736
47  3.141908    12.249063   2.377476     0.000074   65536.0       0.1  0.05          0.979309
48  3.141055    12.308560   2.442336     0.000082   65536.0       0.1  0.05          0.979134
49  3.134359    11.848671   2.024462     0.000073   65536.0       0.1  0.05          0.979042
